4		114 113 0 64 61 
3		114 12 11 19 
2		114 12 105 
4		114 117 116 104 101 
4		114 12 13 58 6 
2		114 112 50 
0		114 
2		114 117 43 

3		43 1 2 3 
4		43 1 2 87 72 
5		43 1 2 87 88 89 
3		43 1 2 15 
5		43 1 0 64 66 70 
7		43 1 2 87 73 71 84 76 
5		43 41 104 28 97 32 
4		43 1 95 93 94 
4		43 1 0 64 61 
5		43 117 116 105 11 19 
3		43 117 116 105 
3		43 41 104 101 
4		43 1 0 7 6 
4		43 117 114 112 50 
2		43 117 114 
0		43 
